,id,source,target,length_m,X,Y,name,charging_stations,model_type,range,capacity
81,10081,8864111,8862614,5458.713470581143,3.6872550637911448,51.4452347914124,"('8864111', '8862614')",,link,150000,600
82,10082,8864076,8867515,17969.095075944228,5.13360208700081,52.41416500713965,"('8864076', '8867515')",,link,150000,600
83,10083,8861716,8861158,1121.2774810409767,4.314977073856725,51.894817705440445,"('8861716', '8861158')",,link,150000,600
84,10084,8861716,8865803,3404.805972468202,4.326768204132335,51.880682762367854,"('8861716', '8865803')",,link,150000,600
85,10085,8862202,8862340,1104.0932076450106,5.35735470389156,51.953953022719546,"('8862202', '8862340')",,link,150000,600
86,10086,8865119,11309119,7485.407449996959,5.34811515264668,51.769058141952954,"('8865119', '11309119')",,link,150000,600
87,10087,8862947,8863762,6481.372633783516,5.5343390703893895,52.62498195585199,"('8862947', '8863762')",,link,150000,600
88,10088,8862947,8865470,15260.859670969767,5.47540120835181,52.554605885875205,"('8862947', '8865470')",,link,150000,600
89,10089,8863665,8867130,937.1240733357351,4.62243925530863,51.7959365864765,"('8863665', '8867130')",,link,150000,600
90,10090,8863665,8863131,6109.629444359677,4.6461535999396,51.81104328684425,"('8863665', '8863131')",,link,150000,600
91,10091,8863665,8864737,22452.089676754964,4.526648808502886,51.818369406246006,"('8863665', '8864737')",,link,150000,600
92,10092,8867148,8868208,9678.917653196715,5.778680025197641,51.009632270488396,"('8867148', '8868208')",,link,150000,600
93,10093,8867148,8861305,15767.351668360145,5.7260744492327955,50.917245801822745,"('8867148', '8861305')",,link,150000,600
94,10094,8864954,8861920,12830.015625066957,6.130264002715035,52.6690635339256,"('8864954', '8861920')",,link,150000,600
95,10095,8867130,8860725,9053.929362495543,4.621933481506855,51.75302074301615,"('8867130', '8860725')",,link,150000,600
96,10096,8862907,8866137,8527.69983478479,5.090381133129226,51.72466159147975,"('8862907', '8866137')",,link,150000,600
97,10097,8862907,8866893,23444.80948519612,4.949255249873531,51.7129873936163,"('8862907', '8866893')",,link,150000,600
98,10098,8863818,8863630,7765.172161466329,4.83589280034294,51.681539882306055,"('8863818', '8863630')",,link,150000,600
99,10099,8866893,8868359,1040.4249099070125,4.83966123125269,51.713240598008355,"('8866893', '8868359')",,link,150000,600
100,10100,8863891,8861528,20727.387990750554,3.654935074468515,51.38315549476485,"('8863891', '8861528')",,link,150000,600
101,10101,8863891,8867785,7937.402030021543,3.723411904788475,51.3934572588435,"('8863891', '8867785')",,link,150000,600
102,10102,8861698,8860725,4454.730156416705,4.640105885431515,51.71770068611086,"('8861698', '8860725')",,link,150000,600
103,10103,8861698,8863630,18595.65387848237,4.74282857956723,51.71637571656976,"('8861698', '8863630')",,link,150000,600
104,10104,8863742,8867374,2757.739737089771,4.56520353216928,51.9100315058256,"('8863742', '8867374')",,link,150000,600
