,id,source,target,length_m,X,Y,name,charging_stations,model_type
97,10097,8860579,8866512,15216.961607814945,6.638308079268626,52.30340358026525,"('8860579', '8866512')",,link
98,10098,8862202,8861996,13480.952406888953,5.41153997044016,51.92033860006615,"('8862202', '8861996')",,link
99,10099,8862614,8867785,4541.701591594181,3.6861295243106547,51.42935655077605,"('8862614', '8867785')",,link
100,10100,8862614,8864111,5458.713470581143,3.6872550637911448,51.4452347914124,"('8862614', '8864111')",,link
101,10101,8861447,8867600,31559.39263526992,5.236600901101865,53.2559758758656,"('8861447', '8867600')",,link
102,10102,8861447,8864260,9486.022259566209,5.182085610256995,53.338239199263555,"('8861447', '8864260')",,link
103,10103,8861447,8865605,9312.218159038304,5.118942901046831,53.30810511363515,"('8861447', '8865605')",,link
104,10104,8860732,8864837,25641.274336459184,5.049513504668759,52.1874017909586,"('8860732', '8864837')",,link
105,10105,8860732,8866045,5814.765678183789,5.095300164088645,52.079711237681856,"('8860732', '8866045')",,link
106,10106,8866564,8866306,3378.2517165791955,4.548598087993716,52.210291929384454,"('8866564', '8866306')",,link
107,10107,8866564,8862292,46539.08556502948,4.47855629344372,52.069877902754996,"('8866564', '8862292')",,link
108,10108,8865631,8861996,1862.9807402706147,5.4530320032387145,51.8862988523893,"('8865631', '8861996')",,link
109,10109,8866661,8861611,21402.93536909143,5.5369278730604155,52.3119088898183,"('8866661', '8861611')",,link
110,10110,8866661,8863596,47576.40419896035,5.69212688936884,52.4733116035609,"('8866661', '8863596')",,link
111,10111,22637863,8860623,92.32237863656498,6.154291710597015,51.39348838186455,"('22637863', '8860623')",,link
112,10112,8866306,8862048,36662.24959550639,4.639278570638085,52.326436927692455,"('8866306', '8862048')",,link
113,10113,8867538,8865214,10239.160629660068,4.657341907078595,51.991735802458244,"('8867538', '8865214')",,link
114,10114,8867538,8867374,12269.485852538608,4.603853453353435,51.94152349997615,"('8867538', '8867374')",,link
115,10115,8864494,8861611,703.5612088596363,5.465390555616815,52.257545605355205,"('8864494', '8861611')",,link
116,10116,8867785,8867824,37924.359707178024,3.85099688035047,51.42880775349555,"('8867785', '8867824')",,link
117,10117,8867785,8863891,7937.402030021543,3.723411904788475,51.3934572588435,"('8867785', '8863891')",,link
118,10118,8865214,8867128,802.0074453111314,4.687392139044605,52.0147326504314,"('8865214', '8867128')",,link
119,10119,8865214,8863360,13850.69353111389,4.67914334913704,52.06685297483095,"('8865214', '8863360')",,link
120,10120,8867824,8865869,1085.0151905623702,4.0031481279525405,51.4369080963546,"('8867824', '8865869')",,link
121,10121,8867824,8862858,23899.461668617103,3.909086966545315,51.39240645839925,"('8867824', '8862858')",,link
122,10122,8866893,8868359,1040.4249099070125,4.83966123125269,51.713240598008355,"('8866893', '8868359')",,link
123,10123,8864825,8860623,31092.798676726386,6.071391853245094,51.310719113021946,"('8864825', '8860623')",,link
124,10124,8864825,8864929,10568.213167819993,5.951412510807675,51.198567415685844,"('8864825', '8864929')",,link
125,10125,8864825,8862448,3176.1169859780193,5.985272076034585,51.21570904184895,"('8864825', '8862448')",,link
126,10126,8863019,8867910,690.3248762319221,4.975721405148805,51.83494896182645,"('8863019', '8867910')",,link
127,10127,8864737,8863665,22452.089676754964,4.526648808502886,51.818369406246006,"('8864737', '8863665')",,link
128,10128,22638029,8864151,7912.84914572579,4.926702101460325,51.8220913919246,"('22638029', '8864151')",,link
129,10129,22638029,8864117,1052.8237261997417,4.887344441322395,51.8174428277696,"('22638029', '8864117')",,link
130,10130,22638029,8867986,24037.539243228617,4.78393482910083,51.8201126360464,"('22638029', '8867986')",,link
131,10131,8861625,8861372,2495.7033194149653,4.76100284009991,52.62723566526335,"('8861625', '8861372')",,link
132,10132,8861625,8865644,43695.14134824555,4.769609251925935,52.78905411545735,"('8861625', '8865644')",,link
133,10133,8863665,8867130,937.1240733357351,4.62243925530863,51.7959365864765,"('8863665', '8867130')",,link
134,10134,8861863,8865817,4279.454749882435,4.603268309901835,52.46733176109735,"('8861863', '8865817')",,link
135,10135,8866465,8861372,40798.194721293556,4.87942402642882,52.7155517770857,"('8866465', '8861372')",,link
