,length,condition,lat,lon,model_type,id,road,name
588,6.2,A,22.00042964,92.08831938,bridge,10588,N1,xyz
589,545,NaN,21.9981328,92.08788914,link,10589,N1,xyz
590,3,A,21.99583596,92.08745891,bridge,10590,N1,xyz
591,11,NaN,21.99578848,92.08745249,link,10591,N1,xyz
592,12.4,A,21.995741,92.08744606,bridge,10592,N1,xyz
593,424,NaN,21.99398722,92.08690214,link,10593,N1,xyz
594,58.5,A,21.99223344,92.08635821,bridge,10594,N1,xyz
595,232,NaN,21.99125684,92.08602209,link,10595,N1,xyz
596,14.2,A,21.99028024,92.08568597,bridge,10596,N1,xyz
597,408,NaN,21.98866056,92.08484017,link,10597,N1,xyz
598,24.2,A,21.98704087,92.08399437,bridge,10598,N1,xyz
599,670,NaN,21.98447246,92.08238385,link,10599,N1,xyz
600,22.5,A,21.98190404,92.08077333,bridge,10600,N1,xyz
601,267,NaN,21.9811832,92.07982248,link,10601,N1,xyz
602,18.7,A,21.98046236,92.07887163,bridge,10602,N1,xyz
603,345,NaN,21.97988047,92.07736043,link,10603,N1,xyz
604,3.5,A,21.97929857,92.07584923,bridge,10604,N1,xyz
605,1090,NaN,21.97658349,92.07208485,link,10605,N1,xyz
606,2.5,A,21.9738684,92.06832048,bridge,10606,N1,xyz
607,752,NaN,21.97141326,92.0662353,link,10607,N1,xyz
608,1.5,A,21.96895812,92.06415011,bridge,10608,N1,xyz
609,671,NaN,21.96558599,92.06373349,link,10609,N1,xyz
610,22.4,A,21.96221386,92.06331688,bridge,10610,N1,xyz
611,386,NaN,21.96072698,92.064298,link,10611,N1,xyz
612,8.2,A,21.95924011,92.06527913,bridge,10612,N1,xyz
613,317,NaN,21.95863614,92.06583621,link,10613,N1,xyz
614,3,A,21.95803216,92.06639328,bridge,10614,N1,xyz
615,616,NaN,21.95505585,92.06710355,link,10615,N1,xyz
616,22.4,A,21.95207954,92.06781381,bridge,10616,N1,xyz
617,752,NaN,21.94873946,92.06737123,link,10617,N1,xyz
618,1.4,A,21.94539937,92.06692866,bridge,10618,N1,xyz
619,1163,NaN,21.94071419,92.06473569,link,10619,N1,xyz
620,4.5,A,21.93602902,92.06254272,bridge,10620,N1,xyz
621,252,NaN,21.93498723,92.06210444,link,10621,N1,xyz
622,9.3,A,21.93394544,92.06166615,bridge,10622,N1,xyz
623,216,NaN,21.93312706,92.06123356,link,10623,N1,xyz
624,4.5,A,21.93230867,92.06080096,bridge,10624,N1,xyz
625,255,NaN,21.93134496,92.0602425,link,10625,N1,xyz
626,4.7,A,21.93038125,92.05968404,bridge,10626,N1,xyz
627,1338,NaN,21.92414661,92.05971017,link,10627,N1,xyz
628,2,A,21.91791196,92.0597363,bridge,10628,N1,xyz
629,197,NaN,21.91733556,92.05986312,link,10629,N1,xyz
