,length,condition,lat,lon,intersection,model_type,id,road,name
1692,827,NaN,24.26990383,91.38680471,0,link,11692,N2,
1693,4.3,A,24.27112942,91.38984932,,bridge,11693,N2,
1694,79,NaN,24.27111434,91.39021128,0,link,11694,N2,
1695,1.7,A,24.27109926,91.39057325,,bridge,11695,N2,
1696,220,NaN,24.27112362,91.39156387,0,link,11696,N2,
1697,2,A,24.27114797,91.39255448,,bridge,11697,N2,
1698,1025,NaN,24.27316888,91.39708444,0,link,11698,N2,
1699,82.8,A,24.27518979,91.4016144,,bridge,11699,N2,
1700,460,NaN,24.27626077,91.40356436,0,link,11700,N2,
1701,2.6,A,24.27733175,91.40551432,,bridge,11701,N2,
1702,187,NaN,24.27771576,91.40629628,0,link,11702,N2,
1703,2.6,A,24.27809976,91.40707824,,bridge,11703,N2,
1704,220,NaN,24.27860065,91.4079749,0,link,11704,N2,
1705,2.5,A,24.27910153,91.40887157,,bridge,11705,N2,
1706,763,NaN,24.28028625,91.41227873,0,link,11706,N2,
1707,2.6,A,24.28147097,91.41568589,,bridge,11707,N2,
1708,535,NaN,24.28181692,91.41829178,0,link,11708,N2,
1709,4.2,A,24.28216286,91.42089767,,bridge,11709,N2,
1710,1290,NaN,24.28124546,91.42719755,0,link,11710,N2,
1711,12.5,A,24.28032807,91.43349743,,bridge,11711,N2,
1712,1015,NaN,24.27893396,91.43805902,0,link,11712,N2,
1713,2.6,A,24.27753985,91.44262062,,bridge,11713,N2,
1714,522,NaN,24.27586145,91.44441143,0,link,11714,N2,
1715,2.6,A,24.27418305,91.44620225,,bridge,11715,N2,
1716,483,NaN,24.27253606,91.44775623,0,link,11716,N2,
1717,2.6,A,24.27088907,91.44931021,,bridge,11717,N2,
1718,502,NaN,24.26933056,91.45107042,0,link,11718,N2,
1719,2.1,A,24.26777205,91.45283063,,bridge,11719,N2,
1720,502,NaN,24.26712056,91.45495263,0,link,11720,N2,
1721,2.1,A,24.26646908,91.45707463,,bridge,11721,N2,
1722,502,NaN,24.26657981,91.45953289,0,link,11722,N2,
1723,2.1,A,24.26669054,91.46199114,,bridge,11723,N2,
1724,629,NaN,24.26685165,91.46507152,0,link,11724,N2,
1725,1.6,A,24.26701275,91.46815189,,bridge,11725,N2,
1726,402,NaN,24.26709731,91.47012655,0,link,11726,N2,
1727,1.6,A,24.26718187,91.4721012,,bridge,11727,N2,
1728,504,NaN,24.26743783,91.4744947,0,link,11728,N2,
1729,4,,24.2676938,91.4768882,N204,intersection,11729,N2,
1730,74,NaN,24.26797765,91.47706766,0,link,11730,N2,
1731,216.15,A,24.26826151,91.47724711,,bridge,11731,N2,
