,country,city_abbr,function,coords
866,NL,LRU,1-3-----,5214N 00440E
867,NL,LEK,--3-----,
868,NL,LKK,-----6--,5314N 00549E
869,NL,LEY,1-34----,
870,NL,ELE,--3-----,5227N 00621E
871,NL,LMR,--3-----,
872,NL,LEM,1-------,
873,NL,LNT,--3-----,
874,NL,LEO,1-3-----,5307N 00528E
875,NL,LEP,--3-----,5156N 00435E
876,NL,TTE,1----6--,5217N 00616E
877,NL,LED,--3-----,5151N 00554E
878,NL,LNN,--3-----,5131N 00559E
879,NL,LEU,--3-----,
880,NL,LTH,--3-----,
881,NL,GEL,-23-----,5205N 00608E
882,NL,LEV,--3-----,5115N 00551E
883,NL,LWD,--3-----,5129N 00345E
884,NL,LXM,--3-----,
885,NL,LCV,--3-----,
886,NL,LIE,1-------,
887,NL,LEN,1-------,5210N 06000E
888,NL,LRP,--3-----,5125N 00540E
889,NL,LSH,--3-----,5131N 00535E
890,NL,LSL,--3-----,5124N 00549E
891,NL,LIJ,1-3-----,5221N 00446E
892,NL,LME,1-3-----,5052N 00542E
893,NL,LMM,--3-----,
894,NL,LIW,--3-----,5153N 00507E
895,NL,LIR,--3-----,5153N 00554E
896,NL,LIN,--3-----,5109N 00556E
897,NL,LSC,--3-----,
898,NL,LIO,--3-----,5156N 06310E
899,NL,LWO,1-3-----,5258N 00539E
900,NL,QDG,1-3-----,
901,NL,LBK,--3-----,
902,NL,LIT,1-------,
903,NL,LTO,1-3-----,5148N 00528E
904,NL,LIL,--3-----,5307N 00535E
905,NL,LOB,--3-----,
906,NL,LCH,--3-----,
907,NL,LON,--3-----,
908,NL,LAV,1-3-----,
909,NL,LNO,123-----,5214N 00500E
910,NL,LOM,--3-----,
911,NL,LOO,--3-----,5156N 00559E
912,NL,LOZ,--3-----,5138N 00505E
913,NL,LSB,--3-----,5140N 00530E
914,NL,ZAQ,-----6--,5213N 00504E
915,NL,LPK,--3-----,
916,NL,LKL,--3-----,5200N 00503E
917,NL,LPM,--3-----,5320N 00645E
918,NL,LOS,--3-----,
